Grubhub_slug,Grubhub_Business_Hours,Uber_Eats_slug,Uber_Eats_Business_Hours,is_out_of_range
,Monday: CLOSED - CLOSED,homerunpaninis_lemontreegourme_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,homerunpaninis_lemontreegourme_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,homerunpaninis_lemontreegourme_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,homerunpaninis_lemontreegourme_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,homerunpaninis_lemontreegourme_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,homerunpaninis_lemontreegourme_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,homerunpaninis_lemontreegourme_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,hydesgrilledche_lemontreegourme_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,hydesgrilledche_lemontreegourme_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,hydesgrilledche_lemontreegourme_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,hydesgrilledche_lemontreegourme_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,hydesgrilledche_lemontreegourme_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,hydesgrilledche_lemontreegourme_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,hydesgrilledche_lemontreegourme_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,lucaschickenwin_lemontreegourme_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,lucaschickenwin_lemontreegourme_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,lucaschickenwin_lemontreegourme_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,lucaschickenwin_lemontreegourme_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,lucaschickenwin_lemontreegourme_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,lucaschickenwin_lemontreegourme_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,lucaschickenwin_lemontreegourme_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,marysomeletteba_lemontreegourme_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,marysomeletteba_lemontreegourme_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,marysomeletteba_lemontreegourme_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,marysomeletteba_lemontreegourme_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,marysomeletteba_lemontreegourme_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,marysomeletteba_lemontreegourme_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,marysomeletteba_lemontreegourme_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,planetearthsala_lemontreegourme_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,planetearthsala_lemontreegourme_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,planetearthsala_lemontreegourme_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,planetearthsala_lemontreegourme_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,planetearthsala_lemontreegourme_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,planetearthsala_lemontreegourme_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,planetearthsala_lemontreegourme_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,sandwichonfleek_lemontreegourme_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,sandwichonfleek_lemontreegourme_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,sandwichonfleek_lemontreegourme_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,sandwichonfleek_lemontreegourme_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,sandwichonfleek_lemontreegourme_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,sandwichonfleek_lemontreegourme_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,sandwichonfleek_lemontreegourme_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,suzannessubsand_lemontreegourme_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,suzannessubsand_lemontreegourme_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,suzannessubsand_lemontreegourme_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,suzannessubsand_lemontreegourme_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,suzannessubsand_lemontreegourme_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,suzannessubsand_lemontreegourme_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,suzannessubsand_lemontreegourme_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,tanyasvegetaria_lemontreegourme_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,tanyasvegetaria_lemontreegourme_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,tanyasvegetaria_lemontreegourme_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,tanyasvegetaria_lemontreegourme_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,tanyasvegetaria_lemontreegourme_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,tanyasvegetaria_lemontreegourme_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,tanyasvegetaria_lemontreegourme_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,theburgerstack_lemontreegourme_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,theburgerstack_lemontreegourme_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,theburgerstack_lemontreegourme_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,theburgerstack_lemontreegourme_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,theburgerstack_lemontreegourme_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,theburgerstack_lemontreegourme_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,theburgerstack_lemontreegourme_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,themontageveget_lemontreegourme_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,themontageveget_lemontreegourme_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,themontageveget_lemontreegourme_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,themontageveget_lemontreegourme_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,themontageveget_lemontreegourme_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,themontageveget_lemontreegourme_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,themontageveget_lemontreegourme_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,thepancakehero_lemontreegourme_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,thepancakehero_lemontreegourme_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,thepancakehero_lemontreegourme_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,thepancakehero_lemontreegourme_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,thepancakehero_lemontreegourme_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,thepancakehero_lemontreegourme_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,thepancakehero_lemontreegourme_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,thesmoothiesque_lemontreegourme_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,thesmoothiesque_lemontreegourme_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,thesmoothiesque_lemontreegourme_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,thesmoothiesque_lemontreegourme_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,thesmoothiesque_lemontreegourme_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,thesmoothiesque_lemontreegourme_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,thesmoothiesque_lemontreegourme_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,topnotchsandwic_lemontreegourme_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,topnotchsandwic_lemontreegourme_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,topnotchsandwic_lemontreegourme_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,topnotchsandwic_lemontreegourme_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,topnotchsandwic_lemontreegourme_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,topnotchsandwic_lemontreegourme_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,topnotchsandwic_lemontreegourme_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,villagequesadil_lemontreegourme_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,villagequesadil_lemontreegourme_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,villagequesadil_lemontreegourme_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,villagequesadil_lemontreegourme_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,villagequesadil_lemontreegourme_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,villagequesadil_lemontreegourme_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,villagequesadil_lemontreegourme_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,wrapsoncrack_lemontreegourme_ue,Monday: 06:00 - 00:00,Out of Range
,Tuesday: CLOSED - CLOSED,wrapsoncrack_lemontreegourme_ue,Tuesday: 06:00 - 00:00,Out of Range
,Wednesday: CLOSED - CLOSED,wrapsoncrack_lemontreegourme_ue,Wednesday: 06:00 - 00:00,Out of Range
,Thursday: CLOSED - CLOSED,wrapsoncrack_lemontreegourme_ue,Thursday: 06:00 - 00:00,Out of Range
,Friday: CLOSED - CLOSED,wrapsoncrack_lemontreegourme_ue,Friday: 06:00 - 00:00,Out of Range
,Saturday: CLOSED - CLOSED,wrapsoncrack_lemontreegourme_ue,Saturday: 06:00 - 00:00,Out of Range
,Sunday: CLOSED - CLOSED,wrapsoncrack_lemontreegourme_ue,Sunday: 06:00 - 00:00,Out of Range
,Monday: CLOSED - CLOSED,bosscatbreakfas_lincolngourmetd_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,bosscatbreakfas_lincolngourmetd_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,bosscatbreakfas_lincolngourmetd_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,bosscatbreakfas_lincolngourmetd_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,bosscatbreakfas_lincolngourmetd_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,bosscatbreakfas_lincolngourmetd_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,bosscatbreakfas_lincolngourmetd_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,gourmetomelette_lincolngourmetd_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,gourmetomelette_lincolngourmetd_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,gourmetomelette_lincolngourmetd_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,gourmetomelette_lincolngourmetd_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,gourmetomelette_lincolngourmetd_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,gourmetomelette_lincolngourmetd_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,gourmetomelette_lincolngourmetd_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,grandmasbreakfa_lincolngourmetd_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,grandmasbreakfa_lincolngourmetd_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,grandmasbreakfa_lincolngourmetd_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,grandmasbreakfa_lincolngourmetd_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,grandmasbreakfa_lincolngourmetd_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,grandmasbreakfa_lincolngourmetd_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,grandmasbreakfa_lincolngourmetd_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,icecreambakeryl_lincolngourmetd_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,icecreambakeryl_lincolngourmetd_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,icecreambakeryl_lincolngourmetd_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,icecreambakeryl_lincolngourmetd_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,icecreambakeryl_lincolngourmetd_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,icecreambakeryl_lincolngourmetd_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,icecreambakeryl_lincolngourmetd_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,jjsphillycheese_lincolngourmetd_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,jjsphillycheese_lincolngourmetd_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,jjsphillycheese_lincolngourmetd_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,jjsphillycheese_lincolngourmetd_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,jjsphillycheese_lincolngourmetd_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,jjsphillycheese_lincolngourmetd_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,jjsphillycheese_lincolngourmetd_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,mariositalianri_lincolngourmetd_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,mariositalianri_lincolngourmetd_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,mariositalianri_lincolngourmetd_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,mariositalianri_lincolngourmetd_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,mariositalianri_lincolngourmetd_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,mariositalianri_lincolngourmetd_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,mariositalianri_lincolngourmetd_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,midtownquesadil_lincolngourmetd_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,midtownquesadil_lincolngourmetd_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,midtownquesadil_lincolngourmetd_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,midtownquesadil_lincolngourmetd_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,midtownquesadil_lincolngourmetd_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,midtownquesadil_lincolngourmetd_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,midtownquesadil_lincolngourmetd_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,primapaninibar_lincolngourmetd_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,primapaninibar_lincolngourmetd_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,primapaninibar_lincolngourmetd_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,primapaninibar_lincolngourmetd_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,primapaninibar_lincolngourmetd_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,primapaninibar_lincolngourmetd_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,primapaninibar_lincolngourmetd_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,sunsupbreakfast_lincolngourmetd_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,sunsupbreakfast_lincolngourmetd_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,sunsupbreakfast_lincolngourmetd_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,sunsupbreakfast_lincolngourmetd_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,sunsupbreakfast_lincolngourmetd_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,sunsupbreakfast_lincolngourmetd_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,sunsupbreakfast_lincolngourmetd_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,theburgertrilog_lincolngourmetd_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,theburgertrilog_lincolngourmetd_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,theburgertrilog_lincolngourmetd_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,theburgertrilog_lincolngourmetd_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,theburgertrilog_lincolngourmetd_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,theburgertrilog_lincolngourmetd_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,theburgertrilog_lincolngourmetd_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,thesaladgod_lincolngourmetd_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,thesaladgod_lincolngourmetd_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,thesaladgod_lincolngourmetd_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,thesaladgod_lincolngourmetd_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,thesaladgod_lincolngourmetd_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,thesaladgod_lincolngourmetd_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,thesaladgod_lincolngourmetd_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,thesmoothiesava_lincolngourmetd_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,thesmoothiesava_lincolngourmetd_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,thesmoothiesava_lincolngourmetd_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,thesmoothiesava_lincolngourmetd_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,thesmoothiesava_lincolngourmetd_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,thesmoothiesava_lincolngourmetd_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,thesmoothiesava_lincolngourmetd_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,torettosbreakfa_lincolngourmetd_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,torettosbreakfa_lincolngourmetd_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,torettosbreakfa_lincolngourmetd_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,torettosbreakfa_lincolngourmetd_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,torettosbreakfa_lincolngourmetd_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,torettosbreakfa_lincolngourmetd_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,torettosbreakfa_lincolngourmetd_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,villagewrapssno_lincolngourmetd_ue,Monday: 00:00 - 23:59,Out of Range
,Tuesday: CLOSED - CLOSED,villagewrapssno_lincolngourmetd_ue,Tuesday: 00:00 - 23:59,Out of Range
,Wednesday: CLOSED - CLOSED,villagewrapssno_lincolngourmetd_ue,Wednesday: 00:00 - 23:59,Out of Range
,Thursday: CLOSED - CLOSED,villagewrapssno_lincolngourmetd_ue,Thursday: 00:00 - 23:59,Out of Range
,Friday: CLOSED - CLOSED,villagewrapssno_lincolngourmetd_ue,Friday: 00:00 - 23:59,Out of Range
,Saturday: CLOSED - CLOSED,villagewrapssno_lincolngourmetd_ue,Saturday: 00:00 - 23:59,Out of Range
,Sunday: CLOSED - CLOSED,villagewrapssno_lincolngourmetd_ue,Sunday: 00:00 - 23:59,Out of Range
,Monday: CLOSED - CLOSED,butterchickensn_marhabaindian_ue,Monday: 11:30 - 23:30,Out of Range
,Tuesday: CLOSED - CLOSED,butterchickensn_marhabaindian_ue,Tuesday: 11:30 - 23:30,Out of Range
,Wednesday: CLOSED - CLOSED,butterchickensn_marhabaindian_ue,Wednesday: 11:30 - 23:30,Out of Range
,Thursday: CLOSED - CLOSED,butterchickensn_marhabaindian_ue,Thursday: 11:30 - 23:30,Out of Range
,Friday: CLOSED - CLOSED,butterchickensn_marhabaindian_ue,Friday: 11:30 - 23:30,Out of Range
,Saturday: CLOSED - CLOSED,butterchickensn_marhabaindian_ue,Saturday: 11:30 - 23:30,Out of Range
,Sunday: CLOSED - CLOSED,butterchickensn_marhabaindian_ue,Sunday: 11:30 - 23:30,Out of Range
,Monday: CLOSED - CLOSED,divyasdumbiryan_marhabaindian_ue,Monday: 11:30 - 23:30,Out of Range
,Tuesday: CLOSED - CLOSED,divyasdumbiryan_marhabaindian_ue,Tuesday: 11:30 - 23:30,Out of Range
,Wednesday: CLOSED - CLOSED,divyasdumbiryan_marhabaindian_ue,Wednesday: 11:30 - 23:30,Out of Range
,Thursday: CLOSED - CLOSED,divyasdumbiryan_marhabaindian_ue,Thursday: 11:30 - 23:30,Out of Range
,Friday: CLOSED - CLOSED,divyasdumbiryan_marhabaindian_ue,Friday: 11:30 - 23:30,Out of Range
,Saturday: CLOSED - CLOSED,divyasdumbiryan_marhabaindian_ue,Saturday: 11:30 - 23:30,Out of Range
,Sunday: CLOSED - CLOSED,divyasdumbiryan_marhabaindian_ue,Sunday: 11:30 - 23:30,Out of Range
,Monday: CLOSED - CLOSED,hotwingscofillm_marhabaindian_ue,Monday: 11:30 - 23:30,Out of Range
,Tuesday: CLOSED - CLOSED,hotwingscofillm_marhabaindian_ue,Tuesday: 11:30 - 23:30,Out of Range
,Wednesday: CLOSED - CLOSED,hotwingscofillm_marhabaindian_ue,Wednesday: 11:30 - 23:30,Out of Range
,Thursday: CLOSED - CLOSED,hotwingscofillm_marhabaindian_ue,Thursday: 11:30 - 23:30,Out of Range
,Friday: CLOSED - CLOSED,hotwingscofillm_marhabaindian_ue,Friday: 11:30 - 23:30,Out of Range
,Saturday: CLOSED - CLOSED,hotwingscofillm_marhabaindian_ue,Saturday: 11:30 - 23:30,Out of Range
,Sunday: CLOSED - CLOSED,hotwingscofillm_marhabaindian_ue,Sunday: 11:30 - 23:30,Out of Range
,Monday: CLOSED - CLOSED,indianbiryanisn_marhabaindian_ue,Monday: 11:30 - 23:30,Out of Range
,Tuesday: CLOSED - CLOSED,indianbiryanisn_marhabaindian_ue,Tuesday: 11:30 - 23:30,Out of Range
,Wednesday: CLOSED - CLOSED,indianbiryanisn_marhabaindian_ue,Wednesday: 11:30 - 23:30,Out of Range
,Thursday: CLOSED - CLOSED,indianbiryanisn_marhabaindian_ue,Thursday: 11:30 - 23:30,Out of Range
,Friday: CLOSED - CLOSED,indianbiryanisn_marhabaindian_ue,Friday: 11:30 - 23:30,Out of Range
,Saturday: CLOSED - CLOSED,indianbiryanisn_marhabaindian_ue,Saturday: 11:30 - 23:30,Out of Range
,Sunday: CLOSED - CLOSED,indianbiryanisn_marhabaindian_ue,Sunday: 11:30 - 23:30,Out of Range
,Monday: CLOSED - CLOSED,nehasindianrest_marhabaindian_ue,Monday: 11:30 - 23:30,Out of Range
,Tuesday: CLOSED - CLOSED,nehasindianrest_marhabaindian_ue,Tuesday: 11:30 - 23:30,Out of Range
